	Publisher	pmcid	FigURL	Caption	PDFURL	FigName
10	Veterinary Medicine International	PMC3694552	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3694552/bin/VMI2013-982183.003.jpg	Agarose gel <b>electrophoresis</b> showing genetic profiles generated by LSSP-PCR for cutaneous lesion and internal organs from the same animal. M: 100 bp DNA ladder marker; LI-A8: liver fragment from animal 8; L-A8: cutaneous lesion fragment from animal 8; S-A8: spleen fragment from animal 8; PL-8: popliteal lymph node fragment from animal 8; NC: negative control; PC: positive control (L. (V.) braziliensis reference strain MHOM/BR/1975/M2903).		PMC3694552_VMI2013-982183.003.jpg
11	Molecular Pain	PMC3224951	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3224951/bin/1744-8069-5-40-7.jpg	mRNA expression of purinergic receptors in PC12N cells and spinal cord. PC12N cells were incubated without (-) or with (+) 50 ng/ml NGF for 5 days. Total RNA was extracted from the cells and the spinal cord and subjected to RT-PCR using the primers shown in Table 1. PCR products were analyzed by 2% agarose gel <b>electrophoresis</b> and stained with ethidium bromide. β-Actin and G3PDH were used for PC12N cells and for the spinal cord as the control and total RNA without RT was used as negative control.		PMC3224951_1744-8069-5-40-7.jpg
12	Molecular Cancer	PMC1828166	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC1828166/bin/1476-4598-6-20-2.jpg	Relative quantitation of human TFPI-2 transcripts in various normal and tumor cells. Agarose gel <b>electrophoresis</b> analysis of RT-PCR products from various cells and tissues. Panel A depicts TFPI-2 (622 bp) and asTFPI-2 (289 bp) transcripts, while panel B depicts cyclophilin A transcripts. The data presented in panel C represents the amount of transcripts normalized to 10,000 arbitrary units of cyclophilin A amplified from each sample. Each column represents the average of two amplification reactions (error bars represent standard deviation) performed on a single cDNA sample reverse-transcribed from RNA derived from each sample.		PMC1828166_1476-4598-6-20-2.jpg
13	Plos One	PMC4682653	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4682653/bin/pone.0145035.g003.jpg	Electrophoretic gel mobility shift assay showing UvrY binding to csrB and csrC DNA.Binding of phosphorylated (UvrY-P) and non-phosphorylated (UvrY) UvrY-His6 to csrB DNA (A and B) and csrC DNA (C) was tested as shown. The csrB and csrC DNA probes (0.5 nM) used for this experiment (depicted in Fig 1D and 1E, respectively) were incubated with increasing concentrations of in vitro phosphorylated or non-phosphorylated UvrY-His6 protein for 30 min at room temperature. The DNA-protein complexes were resolved by <b>electrophoresis</b> on a non-denaturing 7% polyacrylamide gel. The phosphorylation state of the UvrY-His6 protein used in these experiments was determined by Phos-tag SDS PAGE gel analysis (D).		PMC4682653_pone.0145035.g003.jpg
14	Virology Journal	PMC3166936	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3166936/bin/1743-422X-8-372-1.jpg	Schematic representation of HRSVA whole genome amplification of HRSV-1 by Reverse transcriptase (RT)-PCR. A. The viral genes with leader at 5' end and trailer at 3' end are schematically presented in the 15,222 bases HRSVA2 genome. The thin lines given below represents the approximate size of each of the fifteen amplified fragments (F) and the position of the respective fragments on the genome. The lines are to the approximate scale. B. All the PCR amplified fragments were run by <b>electrophoresis</b> on 1% agarose gel in TAE buffer and visualized by gel red. The fragments are numbered from F1-F15 and their positions on gel are indicated by arrows. Negative control (NC) is the PCR reaction with water in place of sample. The DNA ladder (L) has highest band position at 3 Kbp and lowest band at 100 bp. The size of fifteen fragments is as F 1 = 1215 bp, F2 = 1343 bp, F3 = 1417 bp, F4 = 1301 bp, F5 = 1373 bp, F6 = 1328 bp, F7 = 1324 bp, F8 = 1392 bp, F9 = 1435 bp, F10 = 1328 bp, F11 = 1403 bp, F12 = 1360 bp, F13 = 1200 bp, F14 = 1334 bp, F15 = 1168 bp.		PMC3166936_1743-422X-8-372-1.jpg
15	Proteome Science	PMC3349542	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3349542/bin/1477-5956-10-3-2.jpg	Comparison of 2-DE gel images derived from corm explants along with its embryogenic (NC) and non-embryogenic (NEC) calli after SE induction in culture. The black circles show the location of the highly abundant protein spots that completely vanished or decreased in abundance during somatic to embryonic transition.		PMC3349542_1477-5956-10-3-2.jpg
16	Plos One	PMC3186794	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3186794/bin/pone.0025229.g005.jpg	DENV-2 E protein associates with dynein during retrograde trafficking.BHK-21 cells infected with DENV-2 at 1 MOI were fixed at different time points p.i. DENV-2 E protein was stained using mouse anti-E MAb followed by rabbit anti-mouse IgG TRITC, saturated with goat anti-mouse IgG and then stained for dynein using mouse anti-dynein MAb followed by donkey anti-mouse IgG Alexa 488. A] The split images and the intensity profiles showing the colocalization are displayed for each of the time points; 4 h, 12 h, 24 h, 36 h, 48 h, 60 h and 72 h. B] Mock infected control cells stained for DENV-2 E protein and dynein. C] The 3D reconstruction of the z stacked deconvolved images showing the beginnings of association of E-dynein at 4 h, followed by D] strong colocalization at 48 h and then E] dissociation at 72 h. F] Co-immunoprecipitation of DENV-2 E-dynein complex. Lysates of DENV-2 infected or uninfected BHK-21 cells were co-immunoprecipitated with anti-DENV IgG antibody and the blot was probed with anti-dynein antibody followed by goat anti-mouse HRP. Lane 1 - DENV-2 infected. BHK-21 cell lysate, Lane 2 - Immunoprecipitated DENV-2 infected BHK-21 cells, Lane 3 -Immunoprecipitated uninfected BHK-21 cells.		PMC3186794_pone.0025229.g005.jpg
17	Biomed Research International	PMC4095716	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4095716/bin/BMRI2014-894237.002.jpg	Restriction band pattern of catalase (-21 A/T) gene variant.		PMC4095716_BMRI2014-894237.002.jpg
18	Gastroenterology And Hepatology From Bed To Bench	PMC5310797	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5310797/bin/GHFBB-S29-g001.jpg	A: rs12979860 fragments. L1: TT genotype. L2: CC genotype. L3: CT genotype. L4: 100bp DNA ladder. B: rs8099917 fragments. L1: TT genotype. L2: TG genotype. L3: GG genotype. L4: 50bp DNA ladder		PMC5310797_GHFBB-S29-g001.jpg
19	Bmc Genomics	PMC3901344	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3901344/bin/1471-2164-15-44-1.jpg	PCR amplification of the mitochondrial (mt) minichromosomes of the Polyplax rat lice. (A) Lane 1: GeneRuler®100 bp DNA Ladder (Thermo Scientific). Lane 2: PCR amplicons generated with primer pair 57F-57R that spans the coding region of each mitochondrial (mt) minichromosome of Polyplax asiatica. Lane 4: PCR amplicons generated with primer pair 301F-301R that spans the coding region of each mt minichromosome of Polyplax spinulosa. (B) PCR verification of the mt minichromosomes of Po. asiatica. Lane 1 and 13: 500 bp DNA Ladder (TIANGEN). Lane 2–12: PCR amplicons from the 11 minichromosomes of Po. asiatica: atp8-atp6, trnE-cob-trnI, cox1-trnL2(taa), trnD-trnY-cox2-nad6, trnR-nad4L-cox3-trnA, trnS1(tct)-trnS2(tga)-nad1-trnT-trnG-nad3-trnW, trnQ-nad2-trnN-trnP, trnK-nad4-trnF, trnH-nad5, rrnS-trnC, trnM-trnL1(tag)-rrnL-trnV. (C) PCR verification of the mt minichromosomes of Po. spinulosa. Lane 1 and 13: 500 bp DNA Ladder (TIANGEN). Lane 2–12: PCR amplicons from the 11 minichromosomes of Po. spinulosa: atp8-atp6, trnE-cob-trnI, cox1-trnL1(tag), trnT-trnD-trnY-cox2-nad6-trnA, trnR-nad4L-trnP-cox3, nad1-trnG-nad3-trnW, trnQ-nad2-trnN, trnK-nad4, trnH-nad5-trnF, trnS1 (tct)-trnS2 (tga)-rrnS-trnC, trnM-trnL2(taa)-rrnL-trnV. Genes from which PCR primers were designed are in bold.		PMC3901344_1471-2164-15-44-1.jpg
20	Nucleic Acids Research	PMC3479189	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3479189/bin/gks723f3p.jpg	Minichromosome DNA is cut at a single but variable site in growing cells incubated with the topoisomerase II poison etoposide. (A) PFGE gel of DNA from cells incubated with etoposide. (B) Quantitation of linear minichromosome DNA after etoposide cleavage (Etop) (400 μM, 240 min), compared with that after PacI cleavage (100 U/ml, 1 h) in permeabilized cells; error bars show SEM from three independent experiments. (C) Sites of cleavage by etoposide (100 μM, 60 min) compared with those of PacI (100 U/ml, 3 h). Linearized minichromosome DNA from a PFGE gel was digested with SwaI (100 U/ml, 18 h), and the products were separated by PFGE (10 h, pulse time 10 to 70 s). Lanes M, oligomers with HindIII fragments of λ DNA. The smear of SwaI fragments from cells incubated with etoposide shows that the DNA cleavage position varied in different minichromosomes, while DNA cut at the single PacI site showed the expected SwaI fragments.		PMC3479189_gks723f3p.jpg
21	Nature Communications	PMC4633818	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4633818/bin/ncomms9526-f1.jpg	Detyrosinated α-tubulin is decreased following parthenolide treatment.(a) Skeletal FDB fibres isolated from WT rats were treated with PTL, taxol, or vehicle (control) before fixation, and immunostained for α-tubulin (green) and detyrosinated α-tubulin (red). (scale bar, 10 μm). (b) The density of the fraction of α-tubulin or detyrosinated α-tubulin was quantified (see Methods) following PTL (red) or taxol (blue) treatment and expressed as a per cent change from control (DMSO (dimethylsulphoxide)). PTL and taxol significantly decreased and increased detyrosinated tubulin, respectively. No significant differences in α-tubulin were identified with either treatment (n=7 fibres per group; *P&lt;0.05). (c) Western blots of isolated FDB fibres showing that PTL significantly decreased, and taxol increased, the amount of detyrosinated tubulin, with neither treatment affecting the total α-tubulin content (n=5 mice; *P&lt;0.05). Each treatment was normalized to DMSO control condition. (d,e) Cardiomyocytes isolated from WT rats treated with PTL, taxol, or vehicle control as above in A (scale bar, 10 μm) and quantified as in B. The detyrosinated MT fraction was significantly decreased with PTL and increased following taxol treatment, while the density of the total α-tubulin network was unchanged by PTL treatment and taxol treatment (n=8 cells per group; *P&lt;0.05). (f) Western blots of cardiomyocytes revealed that PTL significantly decreased detyrosinated α-tubulin while taxol increased the amount of detyrosination. Neither treatment had an effect on total α-tubulin content (n=6 mice; *P&lt;0.05). Blots quantitated as per cent change from controls. Differences between groups were determined by using a one-way analysis of variance followed by Dunnett's post hoc test. All values are mean±s.e.m.		PMC4633818_ncomms9526-f1.jpg
22	Environmental Health Perspectives	PMC1566398	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC1566398/bin/envhper00508-0073-a.jpg	Not Available.		PMC1566398_envhper00508-0073-a.jpg
23	Veterinary Research	PMC2733328	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2733328/bin/vetres-40-56-fig1.jpg	Representative example of S. aureus PFGE pattern of DNA digested by SmaI. Lane R: reference strain of S. aureus (strain CIP57.10); 1: O46 (subclinical strain); 2: O64 (sub.); 3: O200 (nares); 4: O54 (sub.); 5: O197 (nares); 6: O198 (nares); 7: O192 (ambient air); 8: O199 (nares); 9: O47 (sub); 10: O11 (gangrenous strain); 11: O194 (nares); 12: O195 (nares); 13: O196 (nares). The subclinical isolates (O46, O47, O64, O54) had been recovered in January 2002, the gangrenous isolates (O11) had been recovered in November 2002, the nares isolates (O200, O197, O198, O199, O194, O195, O196) and the ambient air isolate (O192) had been recovered in October 2003 in a dairy sheep farm.		PMC2733328_vetres-40-56-fig1.jpg
24	Bmc Molecular Biology	PMC1242231	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC1242231/bin/1471-2199-6-19-7.jpg	A. Ligation reactions and supercoiling. Reactions were prepared as described Experimental Procedures. The position of linearized plasmid (lane 1, input), bacterial supercoiled (lane 2) and dimers is indicated. The various topomeric forms of supercoiled plasmid (the result of deposition of nucleosomes on the template) are not resolved well in this gel without chloroquine, and appear as a slight smear (lanes 6, 9, 10). B. Assay of chromatin assembly. Nucloesomes assembly was carried out on 2 μg of Bluescript plasmid as described in Methods. Each band corresponds to the addition of one nucleosome, which decreases the linking number. These gels are representative of two different experiments.		PMC1242231_1471-2199-6-19-7.jpg
25	Reproductive Biology And Endocrinology : Rb&e	PMC153491	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC153491/bin/1477-7827-1-18-1.jpg	Electrophoretic profile of the coelomic envelope (CE) as compared with the vitelline envelope (VE). Solubilized glycoproteins were separated on a 10% gel under denaturing and reducing (+) or non-reducing (-) conditions. Forty μg of protein was loaded in each lane. The gel was stained with Coomasie Brilliant Blue R-250 (CBB, lanes 1–3) for proteins or with the periodic acid-Schiff protocol (PAS, lane 4) for carbohydrates. Molecular mass markers are indicated on the left. Arrowheads point to distinct CE components, which are not found in the VE . βME: β-mercaptoethanol. Images are representative of four independent experiments.		PMC153491_1477-7827-1-18-1.jpg
26	British Journal Of Cancer	PMC1968269	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC1968269/bin/brjcancer00205-0131-a.jpg	Not Available.		PMC1968269_brjcancer00205-0131-a.jpg
27	Frontiers In Pharmacology	PMC4315027	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4315027/bin/fphar-06-00009-g0001.jpg	Western <b>blot</b> of corpora cavernosa smooth muscle cells. The western <b>blot</b> shows the effect of 4PB after 48 h exposure at concentrations of 0 (lane 1), 1 mM (lane 2), and 5 mM (lane 3). The reporter protein used was tubulin along with Cx43. Three examples are shown. From top to bottom – increased expression, no change and reduced expression. The average value for six Western <b>blots</b> using ImageJ analysis was 0.93 ± 0.25 SD of controls.		PMC4315027_fphar-06-00009-g0001.jpg
28	Journal Of Biomedical Science	PMC4758095	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4758095/bin/12929_2016_244_Fig6_HTML.jpg	Critical residues in the SRCR domain for the surface targeting and N-glycosylation of SR-AI and MARCO. a-c SR-AI variant G361P, E364A, S369S, L391A, F418A, F420A, G395A-Q397A, S424A-S425A, R432A, R437A, R4321A-R437A, H441R, and D444A were created by site-directed mutagenesis. Total cell lysates (A) and avidin pull-down of biotinylated lysates (B) were subjected to Western <b>blot</b> analysis. Western <b>blot</b> analysis of total cell lysates after PNGase F or Endo H cleavage (C). d-e, HEK293 cells were transfected with MARCO and variant R425A, R432A, G433A, R434A, E436A, W443A, V458A, F459A, C463A, L471A, V486A, H510A and D513A were created by site-directed mutagenesis. Total cell lysates (D) and avidin pull-down of biotinylated lysates (E) were subjected to Western <b>blot</b> analysis. The result was repeated for four times (N = 4) and the representative <b>blot</b> was shown		PMC4758095_12929_2016_244_Fig6_HTML.jpg
29	Plos One	PMC4564140	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4564140/bin/pone.0137049.g003.jpg	Angptl4 was expressed at an earlier stage of podocyte injury in ADR rats, and tacrolimus diminished glomerular and urinary Angptl4 expression.(A) Immunofluorescence of glomerular Angptl4 in normal, tacrolimus-treated and untreated ADR rats. Scale bars: 50 μm. (B) Quantifications of the fluorescence staining intensities of glomerular Angptl4 in normal, tacrolimus-treated and untreated ADR rats. (C) Western <b>blot</b> of glomerular Angptl4 expression in ADR rats. (D) Western <b>blot</b> of urine Angptl4 excretion in ADR rats. (E) Quantification of the western <b>blot</b> of glomerular Angptl4 expression in ADR rats. (F) Quantification of the western <b>blot</b> of urine Angptl4 excretion. (G) Urine Angptl4 ELISA for ADR rats. (H) Serum Angptl4 ELISA for ADR rats. (I) Quantification of the real-time PCR of glomerular Angptl4 in ADR rats. (J) Relationship between glomerular Angptl4 and glomerular desmin in ADR rats. (K) Relationship between glomerular Angptl4 and 24-hour urinary protein excretion in ADR rats. (L) Relationship between glomerular Angptl4 and glomerular synaptopodin in ADR rats. Con, normal rats; Untreated, ADR rats without treatment; TAC, ADR rats with tacrolimus treatment. ##P&lt;0.05 compared with normal rats; #P&lt;0.01 compared with normal rats; *P&lt;0.01 compared with untreated ADR rats. The arrow indicates that tacrolimus treatment was initiated on day 14.		PMC4564140_pone.0137049.g003.jpg
30	Oncotarget	PMC4102797	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4102797/bin/oncotarget-05-3130-g001.jpg	Plk1 interacts with MCAK and downregulation of Plk1 increases the protein level of MCAK in mitosis(A) Co-localization of Plk1 and MCAK by immunofluorescence staining. HeLa cells were transfected with EGFP MCAK construct and synchronized to mitosis. Cells were stained for Plk1, tubulin and DNA. Scale bar: 7.5 µm. (B) Immunoprecipitation was performed using Flag antibody with mitotic extracts from HeLa cells transfected with Flag MCAK. The precipitates were subjected to Western <b>blot</b> analysis with antibodies as indicated. Cellular lysates from Flag-vector transfected cells served as negative control. (C) HeLa, HeLa P25 (Plk1 stably depleted) and HeLa 776-6 (cyclin B1 stably depleted) cells were synchronized to G1/S by the thymidine block (T) or prometaphase by nocodazole (N) or non-treated (C). Cellular lysates were analyzed by Western <b>blot</b> using antibodies as indicated. (D) HeLa cells transfected with control siRNA or siRNA targeting MCAK (siRNA 1 and 2), Plk1 and cyclin B1 were synchronized to prometaphase and cellular lysates were analyzed by Western <b>blot</b> using the antibodies as indicated. (E) HeLa cells were transfected with control siRNA or siRNA against Plk1 and synchronized to prometaphase with nocodazole. The mitotic fraction was collected by shake off and released for the indicated time points in fresh medium containing cycloheximide (CHX, 25 µM). Cellular lysates were prepared for Western <b>blot</b> analyses using the indicated antibodies. (F) HeLa cells were treated with increasing concentrations (5 nM to 50 nM) of the Plk1 inhibitor BI 2536 for 14 h. Cellular lysates were prepared for Western <b>blot</b> analysis with antibodies as indicated. (G) HeLa cells were treated with DMSO, BI 2536 (25 nM) or the Aurora B inhibitor ZM447436 (2 µM) for 14 h. For the combinatory treatment, HeLa cells were first incubated with BI 2536 (25 nM) for 14 h and ZM 447436 (2 µM) was added for the last 2 h of the incubation. Cellular lysates were generated and probed with the indicated antibodies. β-actin served as loading control.		PMC4102797_oncotarget-05-3130-g001.jpg
